n,Insertion Sort,Merge Sort,Quick Sort,STL Sort
10,0,11,2,1
20,0,15,5,3
30,0,24,11,3
40,0,29,19,6
50,1,39,149,12
60,1,77,74,14
70,1,88,97,14
80,2,116,124,21
90,2,114,154,24
100,2,121,161,26
200,2,234,506,31
300,7,407,1641,95
400,7,377,1372,50
500,4,285,2241,52
600,5,350,2229,54
700,4,315,2337,48
800,3,403,3378,54
900,4,297,3643,63
1000,5,364,4210,65
2000,9,1077,20742,147
3000,27,1684,42217,245
4000,19,1333,72426,314
5000,45,1665,120146,579
6000,28,2027,160730,536
7000,34,2528,236051,618
8000,38,3171,285158,935
9000,44,3288,360024,755
10000,47,3740,428428,994
20000,95,7335,1958135,2518
30000,164,12050,4177696,3086
40000,191,16152,7372253,4623
50000,238,20085,11763389,6286
60000,329,24467,17019936,7027
70000,333,27731,24353627,10449
80000,564,36863,29256839,9928
90000,429,35078,39895994,11046
100000,495,42688,48450933,20903
110000,542,45326,53105978,15507
120000,576,49656,65655334,20179
130000,637,51641,77822720,21580
140000,1087,59576,92354232,17619
