n,Insertion Sort,Merge Sort,Quick Sort,STL Sort
10,1,7,1,2
20,2,10,2,3
30,5,16,4,1
40,5,12,5,2
50,7,17,8,2
60,11,19,12,3
70,15,23,16,4
80,19,26,33,8
90,40,50,34,6
100,30,33,32,15
200,118,69,123,13
300,361,134,278,21
400,644,141,640,36
500,986,246,1363,62
600,1786,354,1722,76
700,3103,714,3930,65
800,1672,243,1678,50
900,2047,275,2781,72
1000,4331,401,3359,61
2000,9717,645,13244,185
3000,31321,1926,26930,225
4000,41329,1450,46730,268
5000,72600,1957,76692,379
6000,91978,2044,102703,428
7000,150318,2974,141217,502
8000,182640,3277,249575,1211
9000,315210,6873,364393,1886
10000,364317,3558,322759,912
20000,1127306,7326,1133068,1671
30000,2354590,11266,3116672,2558
40000,4330387,16500,4738869,3934
50000,6942627,18827,7740859,4597
60000,10231459,26451,11852901,9044
70000,13704396,27520,14130205,7226
80000,16813557,32237,17801167,7545
90000,20785829,27011,17319285,6711
100000,21470911,34876,23374869,8202
110000,25357999,47467,27148095,8113
120000,30831542,41424,35399644,9474
130000,39805215,54726,40445556,9481
140000,45112103,44305,44884505,17748
