n,Insertion Sort,Merge Sort,Quick Sort,STL Sort
10,0,5,0,1
20,1,6,1,2
30,2,17,4,5
40,4,22,6,6
50,3,18,5,5
60,5,21,6,6
70,7,26,9,7
80,9,29,12,8
90,11,34,15,9
100,22,57,35,20
200,54,77,19,24
300,108,120,59,39
400,182,174,168,56
500,284,209,139,70
600,385,242,127,84
700,486,188,62,70
800,492,224,75,82
900,623,261,102,97
1000,793,289,87,110
2000,3131,554,204,207
3000,8157,1087,342,782
4000,11059,1106,690,524
5000,16468,1412,466,615
6000,22846,2260,1258,875
7000,30250,2069,772,807
8000,36705,2442,894,955
9000,45651,2705,994,1175
10000,72017,3832,1459,1339
20000,232710,6450,2537,3559
30000,614803,11005,4723,5645
40000,1055570,13287,5035,6150
50000,1698310,16320,7611,10722
60000,2407660,23826,9439,13326
70000,3434395,23491,13227,10896
80000,4356056,29314,15054,15198
90000,6039408,33396,18219,16837
100000,7289981,35327,15746,19065
110000,8405579,38887,17558,18816
120000,10098794,41452,18316,21073
130000,12142482,47624,25479,28456
140000,14508251,48875,24420,23927
