n,Insertion Sort,Merge Sort,Quick Sort,STL Sort
10,0,5,0,1
20,1,7,1,2
30,1,11,2,3
40,2,14,3,4
50,4,18,4,5
60,6,22,5,6
70,7,27,6,8
80,9,36,10,15
90,14,36,7,10
100,15,38,9,12
200,61,79,20,26
300,139,127,32,41
400,229,169,52,58
500,348,219,58,88
600,511,242,44,55
700,425,183,59,74
800,640,238,71,90
900,842,274,81,144
1000,1069,417,90,115
2000,4179,911,305,285
3000,9369,897,289,339
4000,16270,1374,527,741
5000,22859,1678,722,1302
6000,37732,1963,588,727
7000,48641,2483,835,1019
8000,75452,5385,1454,1994
9000,96908,2901,970,1131
10000,95057,3195,1057,1283
20000,381688,6767,2353,2808
30000,989768,13954,6225,8812
40000,1990859,16011,5426,7268
50000,2855805,17395,6071,7511
60000,3676323,22742,7763,9412
70000,5069767,26608,9222,11618
80000,6309870,29667,10719,13016
90000,8453861,36722,13737,15903
100000,10563806,40241,14212,17475
110000,12308093,43319,16510,18127
120000,15161023,51757,21541,22271
130000,17732134,52458,18636,22731
140000,20154634,64558,25749,25715
